Label (Grouping),['Total', 'Less than $10000', '$10000 to $14999', '$15000 to $24999', '$25000 to $34999', '$35000 to $49999', '$50000 to $74999', '$75000 to $99999', '$100000 to $149999', '$150000 to $199999', '$200000 or more', 'Median income (dollars)', 'Mean income (dollars)', 'PERCENT ALLOCATED', 'Household income in the past 12 months', 'Family income in the past 12 months', 'Nonfamily income in the past 12 months']
10019 Families Estimate,['7744', '2.0%', '1.4%', '4.3%', '5.7%', '6.9%', '4.4%', '7.3%', '11.1%', '11.2%', '45.6%', '184531', '288975', '', '(X)', '33.5%', '(X)']
10019 Families Margin of Error,['±885', '±1.6', '±1.5', '±2.7', '±3.9', '±3.0', '±2.6', '±3.3', '±4.1', '±3.2', '±6.3', '±36441', '±41553', '', '(X)', '(X)', '(X)']
10019 Married-couple families Estimate,['5868', '0.5%', '1.2%', '3.3%', '3.7%', '6.2%', '2.9%', '5.0%', '10.9%', '13.4%', '52.9%', '210426', 'N', '', '(X)', '(X)', '(X)']
10019 Married-couple families Margin of Error,['±809', '±0.8', '±1.6', '±2.1', '±3.6', '±3.5', '±2.3', '±2.4', '±4.9', '±4.4', '±7.9', '±28967', 'N', '', '(X)', '(X)', '(X)']
10019 Nonfamily households Estimate,['18659', '9.5%', '5.8%', '12.1%', '4.1%', '8.6%', '7.5%', '8.3%', '14.5%', '8.2%', '21.5%', '81086', '133340', '', '(X)', '(X)', '28.0%']
10019 Nonfamily households Margin of Error,['±1475', '±2.7', '±2.6', '±4.0', '±1.9', '±3.6', '±1.9', '±2.6', '±3.2', '±2.5', '±3.5', '±13085', '±13318', '', '(X)', '(X)', '(X)']
10020 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
10020 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10020 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
10020 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10020 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
10020 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10020 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
10020 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
10021 Households Estimate,['21312', '4.2%', '1.1%', '3.7%', '2.9%', '4.0%', '13.8%', '10.0%', '14.7%', '11.3%', '34.4%', '136060', '240154', '', '42.8%', '(X)', '(X)']
10021 Households Margin of Error,['±1376', '±1.9', '±0.6', '±1.6', '±1.4', '±2.1', '±2.5', '±2.2', '±3.4', '±2.4', '±3.7', '±15170', '±18930', '', '(X)', '(X)', '(X)']
10021 Families Estimate,['10086', '0.4%', '0.6%', '0.4%', '0.8%', '2.3%', '10.5%', '8.1%', '10.2%', '13.3%', '53.4%', '237661', '357578', '', '(X)', '44.4%', '(X)']
10021 Families Margin of Error,['±1026', '±0.5', '±0.7', '±0.5', '±0.9', '±1.5', '±3.6', '±3.6', '±3.7', '±3.8', '±6.3', '±40908', '±35618', '', '(X)', '(X)', '(X)']
10021 Married-couple families Estimate,['9568', '0.4%', '0.3%', '0.0%', '0.9%', '1.4%', '10.1%', '7.5%', '10.3%', '14.0%', '55.0%', '241283', 'N', '', '(X)', '(X)', '(X)']
10021 Married-couple families Margin of Error,['±1015', '±0.5', '±0.4', '±0.4', '±1.0', '±1.1', '±3.4', '±3.7', '±3.8', '±3.9', '±6.5', '±23882', 'N', '', '(X)', '(X)', '(X)']
10021 Nonfamily households Estimate,['11226', '7.5%', '1.6%', '6.6%', '4.7%', '5.9%', '16.3%', '11.8%', '18.9%', '9.2%', '17.3%', '91744', '134114', '', '(X)', '(X)', '41.3%']
10021 Nonfamily households Margin of Error,['±1132', '±3.5', '±1.2', '±2.9', '±2.4', '±3.7', '±3.7', '±3.0', '±5.3', '±2.9', '±3.7', '±13058', '±14318', '', '(X)', '(X)', '(X)']
10022 Households Estimate,['18294', '3.8%', '1.1%', '5.1%', '5.3%', '3.4%', '8.7%', '6.1%', '15.4%', '9.7%', '41.5%', '156255', '274674', '', '39.0%', '(X)', '(X)']
10022 Households Margin of Error,['±1273', '±1.6', '±0.6', '±2.7', '±2.1', '±1.4', '±3.0', '±1.8', '±3.0', '±2.0', '±3.7', '±13538', '±25095', '', '(X)', '(X)', '(X)']
10022 Families Estimate,['7668', '0.1%', '0.9%', '5.1%', '2.0%', '1.4%', '6.7%', '2.4%', '12.1%', '6.4%', '62.9%', '250000+', '410353', '', '(X)', '44.3%', '(X)']
10022 Families Margin of Error,['±989', '±0.1', '±0.8', '±5.9', '±1.7', '±2.0', '±4.6', '±1.7', '±5.2', '±2.7', '±6.5', '***', '±49428', '', '(X)', '(X)', '(X)']
10022 Married-couple families Estimate,['6680', '0.1%', '1.0%', '4.8%', '0.6%', '1.6%', '3.8%', '1.8%', '12.7%', '6.6%', '67.0%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10022 Married-couple families Margin of Error,['±935', '±0.1', '±1.0', '±6.6', '±1.1', '±2.3', '±2.3', '±1.1', '±6.0', '±3.1', '±7.3', '***', 'N', '', '(X)', '(X)', '(X)']
10022 Nonfamily households Estimate,['10626', '6.4%', '1.3%', '5.0%', '7.8%', '4.8%', '10.1%', '8.8%', '18.0%', '11.9%', '25.9%', '111875', '176051', '', '(X)', '(X)', '35.2%']
10022 Nonfamily households Margin of Error,['±769', '±2.6', '±0.8', '±2.4', '±3.6', '±2.0', '±3.6', '±2.7', '±3.6', '±2.8', '±4.6', '±14650', '±24094', '', '(X)', '(X)', '(X)']
10023 Households Estimate,['35480', '4.3%', '4.5%', '4.1%', '3.7%', '4.9%', '9.1%', '9.0%', '14.9%', '10.0%', '35.5%', '136109', '230171', '', '36.9%', '(X)', '(X)']
10023 Households Margin of Error,['±1705', '±1.1', '±1.5', '±1.1', '±1.1', '±1.3', '±2.0', '±1.6', '±2.3', '±2.0', '±2.8', '±11196', '±16262', '', '(X)', '(X)', '(X)']
10023 Families Estimate,['14569', '0.6%', '1.5%', '2.2%', '3.0%', '3.8%', '5.6%', '5.8%', '10.4%', '11.0%', '56.1%', '223244', '337440', '', '(X)', '44.0%', '(X)']
10023 Families Margin of Error,['±1231', '±0.6', '±1.0', '±1.2', '±1.4', '±2.2', '±2.9', '±2.0', '±2.6', '±3.0', '±4.4', '±34608', '±24961', '', '(X)', '(X)', '(X)']
10023 Married-couple families Estimate,['11907', '0.1%', '1.7%', '1.1%', '1.6%', '1.2%', '3.5%', '5.9%', '10.0%', '11.9%', '63.1%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10023 Married-couple families Margin of Error,['±1087', '±0.2', '±1.1', '±1.0', '±0.8', '±0.8', '±2.4', '±2.2', '±3.1', '±3.4', '±4.7', '***', 'N', '', '(X)', '(X)', '(X)']
10023 Nonfamily households Estimate,['20911', '6.9%', '6.5%', '5.5%', '4.3%', '5.7%', '11.9%', '11.0%', '17.9%', '9.3%', '21.0%', '97806', '154961', '', '(X)', '(X)', '31.9%']
10023 Nonfamily households Margin of Error,['±1529', '±1.9', '±2.3', '±1.9', '±1.7', '±1.5', '±2.5', '±2.4', '±3.3', '±2.3', '±3.0', '±11884', '±19931', '', '(X)', '(X)', '(X)']
10024 Households Estimate,['29475', '4.9%', '2.8%', '3.1%', '3.2%', '4.6%', '8.0%', '7.2%', '15.7%', '10.9%', '39.6%', '153177', '280261', '', '37.8%', '(X)', '(X)']
10024 Households Margin of Error,['±1716', '±1.8', '±1.0', '±1.0', '±1.1', '±1.5', '±1.9', '±1.5', '±2.8', '±2.9', '±3.1', '±17247', '±20716', '', '(X)', '(X)', '(X)']
10024 Families Estimate,['14457', '2.4%', '1.6%', '1.1%', '1.7%', '3.1%', '2.7%', '5.7%', '16.2%', '7.8%', '57.7%', '247351', '409878', '', '(X)', '41.2%', '(X)']
10024 Families Margin of Error,['±1190', '±1.8', '±1.2', '±0.7', '±1.1', '±2.4', '±1.1', '±1.7', '±5.9', '±2.4', '±5.6', '±29083', '±42635', '', '(X)', '(X)', '(X)']
10024 Married-couple families Estimate,['11925', '0.3%', '1.3%', '1.4%', '0.5%', '3.4%', '1.6%', '4.9%', '14.0%', '7.8%', '64.8%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10024 Married-couple families Margin of Error,['±1074', '±0.6', '±1.2', '±0.9', '±0.4', '±2.8', '±0.9', '±1.9', '±5.8', '±2.4', '±6.2', '***', 'N', '', '(X)', '(X)', '(X)']
10024 Nonfamily households Estimate,['15018', '7.6%', '3.9%', '5.3%', '4.7%', '6.0%', '12.9%', '8.7%', '18.0%', '11.1%', '21.8%', '101800', '150499', '', '(X)', '(X)', '31.4%']
10024 Nonfamily households Margin of Error,['±1631', '±3.0', '±1.9', '±1.9', '±1.9', '±2.1', '±3.7', '±2.4', '±3.4', '±3.7', '±3.3', '±10173', '±18424', '', '(X)', '(X)', '(X)']
10025 Households Estimate,['41418', '8.9%', '3.3%', '6.8%', '5.6%', '6.0%', '9.0%', '9.3%', '14.2%', '8.1%', '28.7%', '103440', '187489', '', '33.3%', '(X)', '(X)']
10025 Households Margin of Error,['±1507', '±1.7', '±1.0', '±1.3', '±1.5', '±1.1', '±1.4', '±1.8', '±1.6', '±1.6', '±2.3', '±6815', '±14718', '', '(X)', '(X)', '(X)']
10025 Families Estimate,['19577', '4.4%', '2.1%', '4.7%', '4.7%', '6.6%', '6.3%', '9.1%', '13.1%', '8.2%', '40.9%', '143672', '259820', '', '(X)', '34.4%', '(X)']
10025 Families Margin of Error,['±1193', '±1.8', '±1.2', '±1.4', '±2.6', '±2.2', '±1.8', '±2.5', '±2.7', '±2.5', '±3.7', '±24410', '±25169', '', '(X)', '(X)', '(X)']
10025 Married-couple families Estimate,['14224', '2.2%', '0.4%', '3.1%', '3.3%', '4.5%', '5.3%', '5.3%', '15.0%', '10.1%', '51.0%', '204071', 'N', '', '(X)', '(X)', '(X)']
10025 Married-couple families Margin of Error,['±1136', '±1.6', '±0.5', '±1.4', '±2.9', '±2.0', '±1.7', '±1.7', '±3.3', '±3.3', '±4.6', '±30263', 'N', '', '(X)', '(X)', '(X)']
10025 Nonfamily households Estimate,['21841', '13.1%', '4.4%', '9.3%', '6.0%', '5.9%', '11.4%', '10.3%', '15.0%', '7.9%', '16.7%', '74682', '118860', '', '(X)', '(X)', '31.0%']
10025 Nonfamily households Margin of Error,['±1383', '±2.5', '±1.5', '±2.2', '±1.7', '±1.4', '±2.0', '±2.4', '±2.1', '±1.9', '±2.8', '±7433', '±11689', '', '(X)', '(X)', '(X)']
10026 Households Estimate,['15034', '8.6%', '6.2%', '5.9%', '10.0%', '10.1%', '13.0%', '10.9%', '11.8%', '9.4%', '14.2%', '65038', '112171', '', '44.6%', '(X)', '(X)']
10026 Households Margin of Error,['±904', '±2.1', '±1.5', '±2.0', '±3.5', '±1.8', '±2.1', '±2.8', '±2.1', '±1.7', '±2.2', '±6857', '±9963', '', '(X)', '(X)', '(X)']
10026 Families Estimate,['7472', '6.7%', '3.3%', '6.5%', '10.4%', '11.3%', '12.8%', '7.2%', '13.0%', '9.8%', '19.0%', '68877', '133303', '', '(X)', '50.6%', '(X)']
10026 Families Margin of Error,['±534', '±2.8', '±1.6', '±2.7', '±3.3', '±3.0', '±3.8', '±2.5', '±3.3', '±2.2', '±3.2', '±16011', '±14812', '', '(X)', '(X)', '(X)']
10026 Married-couple families Estimate,['3643', '2.3%', '0.8%', '4.6%', '4.0%', '7.0%', '8.5%', '6.7%', '12.5%', '17.1%', '36.5%', '158278', 'N', '', '(X)', '(X)', '(X)']
10026 Married-couple families Margin of Error,['±427', '±2.0', '±1.0', '±3.3', '±3.2', '±3.3', '±3.4', '±4.0', '±4.2', '±4.3', '±6.2', '±18679', 'N', '', '(X)', '(X)', '(X)']
10026 Nonfamily households Estimate,['7562', '10.5%', '9.0%', '6.6%', '11.5%', '8.3%', '13.3%', '13.5%', '10.8%', '7.2%', '9.3%', '53967', '87890', '', '(X)', '(X)', '37.4%']
10026 Nonfamily households Margin of Error,['±810', '±3.0', '±2.7', '±2.8', '±6.3', '±2.4', '±3.2', '±4.4', '±2.7', '±2.7', '±2.5', '±8309', '±10342', '', '(X)', '(X)', '(X)']
10027 Households Estimate,['23638', '12.6%', '7.0%', '8.8%', '5.3%', '11.2%', '13.7%', '9.8%', '12.2%', '6.1%', '13.2%', '58435', '103558', '', '42.3%', '(X)', '(X)']
10027 Households Margin of Error,['±970', '±2.2', '±1.3', '±1.8', '±1.2', '±1.8', '±2.0', '±1.6', '±2.2', '±1.1', '±1.7', '±5213', '±7349', '', '(X)', '(X)', '(X)']
10027 Families Estimate,['11400', '10.0%', '5.6%', '7.4%', '5.4%', '14.0%', '13.1%', '7.8%', '12.6%', '6.4%', '17.8%', '65311', '125379', '', '(X)', '43.8%', '(X)']
10027 Families Margin of Error,['±693', '±2.7', '±1.8', '±2.1', '±1.7', '±2.7', '±3.0', '±2.1', '±2.4', '±1.8', '±2.7', '±6912', '±12166', '', '(X)', '(X)', '(X)']
10027 Married-couple families Estimate,['5365', '3.8%', '0.6%', '1.8%', '3.3%', '9.2%', '11.8%', '9.5%', '16.2%', '8.4%', '35.5%', '128902', 'N', '', '(X)', '(X)', '(X)']
10027 Married-couple families Margin of Error,['±548', '±2.1', '±0.7', '±1.7', '±2.3', '±2.8', '±4.0', '±3.0', '±3.7', '±2.4', '±4.2', '±13152', 'N', '', '(X)', '(X)', '(X)']
10027 Nonfamily households Estimate,['12238', '15.1%', '8.6%', '10.3%', '5.4%', '10.1%', '13.9%', '10.3%', '12.8%', '5.0%', '8.5%', '50681', '80158', '', '(X)', '(X)', '40.7%']
10027 Nonfamily households Margin of Error,['±1014', '±2.8', '±2.0', '±3.0', '±1.9', '±2.7', '±3.0', '±2.4', '±3.4', '±1.2', '±2.2', '±9322', '±8997', '', '(X)', '(X)', '(X)']
10028 Households Estimate,['24790', '3.2%', '1.6%', '3.6%', '3.2%', '4.0%', '8.8%', '9.1%', '16.5%', '11.9%', '38.1%', '149789', '247394', '', '32.2%', '(X)', '(X)']
10028 Households Margin of Error,['±1508', '±1.0', '±1.5', '±1.5', '±1.5', '±2.0', '±1.9', '±1.9', '±2.7', '±2.3', '±4.0', '±11622', '±20208', '', '(X)', '(X)', '(X)']
10028 Families Estimate,['10877', '0.7%', '0.1%', '1.1%', '0.2%', '2.0%', '5.0%', '5.0%', '12.5%', '10.6%', '62.7%', '249848', '370411', '', '(X)', '31.3%', '(X)']
10028 Families Margin of Error,['±1269', '±0.9', '±0.2', '±1.1', '±0.3', '±1.3', '±3.0', '±2.1', '±3.5', '±3.0', '±5.5', '±18047', '±32771', '', '(X)', '(X)', '(X)']
10028 Married-couple families Estimate,['9478', '0.5%', '0.0%', '0.2%', '0.0%', '1.8%', '4.7%', '4.1%', '11.2%', '10.6%', '66.8%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10028 Married-couple families Margin of Error,['±1214', '±0.8', '±0.4', '±0.3', '±0.4', '±1.4', '±3.2', '±2.0', '±3.4', '±3.3', '±5.9', '***', 'N', '', '(X)', '(X)', '(X)']
10028 Nonfamily households Estimate,['13913', '5.1%', '2.9%', '5.5%', '5.6%', '5.4%', '11.8%', '12.3%', '19.6%', '12.9%', '18.8%', '105027', '151126', '', '(X)', '(X)', '32.9%']
10028 Nonfamily households Margin of Error,['±1032', '±1.8', '±2.6', '±2.4', '±2.6', '±3.3', '±2.7', '±2.9', '±3.9', '±3.4', '±4.0', '±10800', '±19972', '', '(X)', '(X)', '(X)']
10029 Households Estimate,['33024', '18.9%', '10.1%', '13.0%', '8.8%', '9.9%', '13.6%', '8.1%', '6.8%', '4.4%', '6.5%', '33901', '70923', '', '56.1%', '(X)', '(X)']
10029 Households Margin of Error,['±1374', '±2.8', '±1.9', '±1.9', '±1.5', '±1.4', '±1.8', '±1.3', '±1.2', '±0.8', '±1.1', '±4162', '±5522', '', '(X)', '(X)', '(X)']
10029 Families Estimate,['16448', '15.9%', '4.8%', '14.1%', '10.7%', '11.2%', '15.5%', '7.0%', '7.5%', '4.9%', '8.4%', '41223', '85059', '', '(X)', '58.5%', '(X)']
10029 Families Margin of Error,['±1243', '±5.3', '±1.3', '±2.7', '±2.3', '±2.6', '±2.9', '±1.8', '±1.9', '±1.5', '±1.9', '±6808', '±10481', '', '(X)', '(X)', '(X)']
10029 Married-couple families Estimate,['6185', '3.3%', '2.8%', '11.4%', '7.7%', '13.5%', '14.7%', '7.3%', '12.1%', '8.2%', '19.0%', '66692', '149320', '', '(X)', '(X)', '(X)']
10029 Married-couple families Margin of Error,['±565', '±1.9', '±1.9', '±3.7', '±3.0', '±4.0', '±4.0', '±2.6', '±3.7', '±2.5', '±4.1', '±12095', '±21094', '', '(X)', '(X)', '(X)']
10029 Nonfamily households Estimate,['16576', '22.2%', '15.5%', '12.5%', '7.0%', '8.3%', '11.2%', '8.9%', '6.1%', '3.9%', '4.3%', '24688', '55232', '', '(X)', '(X)', '53.1%']
10029 Nonfamily households Margin of Error,['±981', '±2.6', '±3.3', '±2.5', '±1.9', '±1.5', '±2.2', '±1.7', '±1.5', '±1.0', '±1.1', '±3982', '±5212', '', '(X)', '(X)', '(X)']
10030 Households Estimate,['13111', '12.7%', '10.5%', '12.9%', '8.8%', '9.7%', '14.2%', '9.9%', '10.0%', '3.9%', '7.5%', '42834', '76965', '', '42.8%', '(X)', '(X)']
10030 Households Margin of Error,['±598', '±2.9', '±2.5', '±2.4', '±2.5', '±2.2', '±3.2', '±3.5', '±2.3', '±1.3', '±1.8', '±6415', '±8205', '', '(X)', '(X)', '(X)']
10030 Families Estimate,['6116', '7.4%', '4.6%', '13.4%', '9.0%', '12.7%', '17.4%', '9.1%', '12.1%', '3.1%', '11.3%', '54864', '96147', '', '(X)', '49.2%', '(X)']
10030 Families Margin of Error,['±499', '±3.1', '±2.8', '±3.3', '±3.7', '±3.9', '±4.3', '±2.7', '±4.0', '±2.1', '±3.1', '±7527', '±12897', '', '(X)', '(X)', '(X)']
10030 Married-couple families Estimate,['2262', '2.3%', '1.4%', '9.2%', '6.0%', '10.0%', '20.0%', '10.8%', '13.2%', '7.7%', '19.5%', '77177', 'N', '', '(X)', '(X)', '(X)']
10030 Married-couple families Margin of Error,['±386', '±2.3', '±2.2', '±5.1', '±4.5', '±5.0', '±7.5', '±5.0', '±6.7', '±5.1', '±6.2', '±21582', 'N', '', '(X)', '(X)', '(X)']
10030 Nonfamily households Estimate,['6995', '17.7%', '15.6%', '12.6%', '8.9%', '7.3%', '10.9%', '11.9%', '7.5%', '4.1%', '3.6%', '30079', '57004', '', '(X)', '(X)', '35.2%']
10030 Nonfamily households Margin of Error,['±580', '±4.6', '±4.2', '±3.3', '±3.8', '±2.8', '±4.1', '±6.1', '±2.3', '±1.5', '±1.8', '±5770', '±9133', '', '(X)', '(X)', '(X)']
10031 Households Estimate,['21473', '9.1%', '7.7%', '10.5%', '8.4%', '10.0%', '13.8%', '10.8%', '13.2%', '8.0%', '8.6%', '57180', '85279', '', '43.6%', '(X)', '(X)']
10031 Households Margin of Error,['±938', '±1.8', '±1.7', '±1.5', '±2.0', '±1.8', '±2.2', '±1.7', '±2.2', '±1.8', '±1.4', '±4302', '±5555', '', '(X)', '(X)', '(X)']
10031 Families Estimate,['10802', '5.2%', '8.0%', '12.5%', '10.3%', '9.7%', '14.1%', '10.9%', '12.8%', '7.4%', '9.1%', '57368', '86136', '', '(X)', '47.8%', '(X)']
10031 Families Margin of Error,['±959', '±2.2', '±2.8', '±2.6', '±3.8', '±2.7', '±3.8', '±2.8', '±3.2', '±2.7', '±2.0', '±8766', '±8039', '', '(X)', '(X)', '(X)']
10031 Married-couple families Estimate,['5548', '1.9%', '9.5%', '7.7%', '7.2%', '5.6%', '15.4%', '12.0%', '15.9%', '10.5%', '14.3%', '80561', 'N', '', '(X)', '(X)', '(X)']
10031 Married-couple families Margin of Error,['±698', '±1.8', '±4.6', '±2.7', '±2.8', '±3.0', '±5.2', '±4.0', '±5.2', '±4.2', '±4.0', '±8822', 'N', '', '(X)', '(X)', '(X)']
10031 Nonfamily households Estimate,['10671', '14.1%', '6.5%', '9.6%', '7.4%', '10.4%', '13.8%', '10.8%', '11.4%', '8.2%', '7.6%', '54385', '80534', '', '(X)', '(X)', '37.4%']
10031 Nonfamily households Margin of Error,['±610', '±2.8', '±1.8', '±2.5', '±2.3', '±2.5', '±2.6', '±2.6', '±2.4', '±2.3', '±2.1', '±5591', '±6792', '', '(X)', '(X)', '(X)']
10032 Households Estimate,['21959', '8.6%', '8.3%', '8.7%', '8.9%', '12.2%', '18.1%', '11.0%', '14.2%', '5.3%', '4.7%', '55059', '74843', '', '47.3%', '(X)', '(X)']
10032 Households Margin of Error,['±1011', '±1.8', '±2.1', '±1.7', '±2.1', '±2.9', '±2.6', '±2.0', '±2.0', '±1.5', '±1.2', '±4503', '±6599', '', '(X)', '(X)', '(X)']
10032 Families Estimate,['10350', '7.9%', '4.3%', '7.3%', '10.4%', '11.9%', '21.4%', '11.4%', '12.5%', '7.1%', '5.8%', '57273', '83339', '', '(X)', '56.8%', '(X)']
10032 Families Margin of Error,['±668', '±2.3', '±2.1', '±2.0', '±3.3', '±3.4', '±4.4', '±2.7', '±2.8', '±2.4', '±2.1', '±3789', '±13192', '', '(X)', '(X)', '(X)']
10032 Married-couple families Estimate,['4179', '4.1%', '3.9%', '2.8%', '7.0%', '9.6%', '21.5%', '13.9%', '14.4%', '9.9%', '12.9%', '76723', 'N', '', '(X)', '(X)', '(X)']
10032 Married-couple families Margin of Error,['±500', '±2.4', '±2.9', '±1.8', '±3.8', '±4.5', '±5.9', '±4.5', '±4.4', '±3.9', '±5.0', '±15924', 'N', '', '(X)', '(X)', '(X)']
10032 Nonfamily households Estimate,['11609', '10.7%', '11.6%', '10.0%', '8.9%', '12.6%', '16.2%', '10.3%', '13.7%', '3.5%', '2.4%', '46207', '61859', '', '(X)', '(X)', '38.0%']
10032 Nonfamily households Margin of Error,['±1066', '±3.0', '±3.5', '±2.8', '±3.3', '±4.8', '±3.9', '±2.2', '±2.9', '±1.6', '±1.3', '±3705', '±5679', '', '(X)', '(X)', '(X)']
10033 Households Estimate,['20079', '8.0%', '5.2%', '7.4%', '7.2%', '8.1%', '16.3%', '13.6%', '17.6%', '7.5%', '9.1%', '71630', '107765', '', '45.5%', '(X)', '(X)']
10033 Households Margin of Error,['±1003', '±1.6', '±1.5', '±1.6', '±1.9', '±1.6', '±2.4', '±2.1', '±2.5', '±1.5', '±2.3', '±4146', '±27986', '', '(X)', '(X)', '(X)']
10033 Families Estimate,['11699', '4.5%', '3.6%', '6.5%', '7.2%', '8.8%', '19.4%', '12.9%', '19.8%', '6.2%', '10.9%', '74885', '128640', '', '(X)', '51.9%', '(X)']
10033 Families Margin of Error,['±904', '±2.0', '±1.7', '±1.9', '±2.3', '±2.3', '±3.4', '±2.9', '±3.9', '±1.6', '±4.3', '±7104', '±48340', '', '(X)', '(X)', '(X)']
10033 Married-couple families Estimate,['5695', '1.2%', '1.7%', '4.5%', '4.4%', '8.4%', '13.0%', '15.0%', '20.3%', '9.6%', '22.1%', '104792', 'N', '', '(X)', '(X)', '(X)']
10033 Married-couple families Margin of Error,['±753', '±1.0', '±1.5', '±2.1', '±2.3', '±3.6', '±4.1', '±4.4', '±5.3', '±2.8', '±7.9', '±17427', 'N', '', '(X)', '(X)', '(X)']
10033 Nonfamily households Estimate,['8380', '13.7%', '7.8%', '10.0%', '7.0%', '7.1%', '14.4%', '13.5%', '15.8%', '6.1%', '4.7%', '57603', '70572', '', '(X)', '(X)', '35.6%']
10033 Nonfamily households Margin of Error,['±717', '±3.2', '±2.6', '±2.8', '±3.1', '±2.4', '±3.2', '±3.5', '±3.6', '±1.6', '±2.4', '±7187', '±6218', '', '(X)', '(X)', '(X)']
10034 Households Estimate,['15763', '7.3%', '7.6%', '8.8%', '6.2%', '10.0%', '17.3%', '14.7%', '14.5%', '8.1%', '5.6%', '63851', '81250', '', '42.5%', '(X)', '(X)']
10034 Households Margin of Error,['±685', '±2.1', '±1.6', '±1.8', '±1.8', '±2.5', '±2.8', '±2.7', '±2.2', '±1.9', '±1.1', '±3370', '±4471', '', '(X)', '(X)', '(X)']
10034 Families Estimate,['8858', '5.3%', '2.7%', '8.6%', '8.8%', '9.6%', '15.8%', '14.7%', '17.0%', '10.3%', '7.3%', '71179', '90077', '', '(X)', '48.5%', '(X)']
10034 Families Margin of Error,['±690', '±2.2', '±1.6', '±2.6', '±2.9', '±3.1', '±3.5', '±3.7', '±3.2', '±3.0', '±1.9', '±13060', '±6475', '', '(X)', '(X)', '(X)']
10034 Married-couple families Estimate,['4655', '3.3%', '0.3%', '5.6%', '3.9%', '7.8%', '14.7%', '13.0%', '21.4%', '16.7%', '13.1%', '101158', 'N', '', '(X)', '(X)', '(X)']
10034 Married-couple families Margin of Error,['±538', '±2.0', '±0.6', '±3.2', '±2.0', '±3.4', '±4.8', '±4.7', '±4.3', '±4.9', '±3.5', '±10333', 'N', '', '(X)', '(X)', '(X)']
10034 Nonfamily households Estimate,['6905', '9.8%', '13.8%', '9.3%', '5.2%', '10.8%', '18.8%', '13.9%', '11.2%', '4.3%', '2.8%', '50744', '65612', '', '(X)', '(X)', '33.0%']
